Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
400,12/14/2020 14:16,-0.437,312.2,2.75,,,,,
401,12/14/2020 20:16,-0.774,0,2.75,,,,,
402,12/15/2020 2:16,-1.001,0,2.75,,,,,
403,12/15/2020 8:16,0.01,43.1,2.74,,,,,
404,12/15/2020 14:16,0.232,258.3,2.74,,,,,
405,12/15/2020 20:16,0.121,0,2.74,,,,,
406,12/16/2020 2:16,0.121,0,2.74,,,,,
407,12/16/2020 8:16,0.121,226,2.74,,,,,
408,12/16/2020 14:16,0.343,64.6,2.74,,,,,
409,12/16/2020 20:16,1.33,0,2.75,,,,,
410,12/17/2020 2:16,0.121,0,2.74,,,,,
411,12/17/2020 8:16,-0.437,10.8,2.75,,,,,
412,12/17/2020 14:16,-0.102,312.2,2.74,,,,,
413,12/17/2020 20:16,-0.213,0,2.74,,,,,
414,12/18/2020 2:16,-0.213,0,2.74,,,,,
415,12/18/2020 8:16,-0.662,107.6,2.75,,,,,
416,12/18/2020 14:16,0.343,3788.9,2.74,,,,,
417,12/18/2020 20:16,0.563,0,2.74,,,,,
418,12/19/2020 2:16,1.764,0,2.75,,,,,
419,12/19/2020 8:16,1.112,107.6,2.75,,,,,
420,12/19/2020 14:16,1.764,527.4,2.75,,,,,
421,12/19/2020 20:16,3.472,0,2.77,,,,,
422,12/20/2020 2:16,5.141,0,2.77,,,,,
423,12/20/2020 8:16,5.655,21.5,2.77,,,,,
424,12/20/2020 14:16,6.37,172.2,2.77,,,,,
425,12/20/2020 20:16,6.674,0,2.79,,,,,
426,12/21/2020 2:16,6.877,0,2.79,,,,,
427,12/21/2020 8:16,5.86,64.6,2.79,,,,,
428,12/21/2020 14:16,5.45,495.1,2.77,,,,,
429,12/21/2020 20:16,0.343,0,2.75,,,,,
430,12/22/2020 2:16,-0.887,0,2.77,,,,,
431,12/22/2020 8:16,-0.887,86.1,2.77,,,,,
432,12/22/2020 14:16,-0.887,172.2,2.75,,,,,
433,12/22/2020 20:16,-1.456,0,2.75,,,,,
434,12/23/2020 2:16,-2.494,0,2.75,,,,,
435,12/23/2020 8:16,-2.844,139.9,2.74,,,,,
436,12/23/2020 14:16,0.232,4133.4,2.74,,,,,
437,12/23/2020 20:16,-0.549,0,2.75,,,,,
438,12/24/2020 2:16,0.232,0,2.75,,,,,
439,12/24/2020 8:16,0.453,226,2.75,,,,,
440,12/24/2020 14:16,1.98,1722.2,2.75,,,,,
441,12/24/2020 20:16,0.893,0,2.75,,,,,
442,12/25/2020 2:16,0.893,0,2.75,,,,,
443,12/25/2020 8:16,0.563,32.3,2.75,,,,,
444,12/25/2020 14:16,0.453,1248.6,2.75,,,,,
445,12/25/2020 20:16,1.112,0,2.75,,,,,
446,12/26/2020 2:16,0.121,0,2.75,,,,,
447,12/26/2020 8:16,-0.213,161.5,2.74,,,,,
448,12/26/2020 14:16,-0.213,398.3,2.74,,,,,
449,12/26/2020 20:16,-0.325,0,2.74,,,,,
450,12/27/2020 2:16,-1.114,0,2.75,,,,,
451,12/27/2020 8:16,-1.456,172.2,2.75,,,,,
452,12/27/2020 14:16,-0.102,1097.9,2.74,,,,,
453,12/27/2020 20:16,-1.57,0,2.75,,,,,
